Timestamp,CPU Percentage,CPU Temperature,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-04-29 11:36:30.309706,0.1,48.0,57.1,9753.57952,810,48
2024-04-29 11:37:30.188946,0.0,48.0,56.8,9703.23968,817,48
2024-04-29 11:38:30.030287,0.8,48.0,56.8,9693.687808,810,47
